date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:17	77186/77186	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202023%2012:51:45%20GMT	https://www.amgk.az/	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/index.html	(from )
10:17:17	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:15%20GMT	https://www.amgk.az/robots.txt		(from )
10:17:18	220780/220780	---M-Z	200	added ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	C:/Users/Maqa/Desktop/Amgk/amgk/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://www.amgk.az/)
10:17:18	33385/33385	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Jun%202023%2013:10:36%20GMT	https://www.amgk.az/style/icony.png	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/style/icony.png	(from https://www.amgk.az/)
10:17:18	3008/3008	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Jun%202023%2013:11:12%20GMT	https://www.amgk.az/style/style.css	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/style/style.css	(from https://www.amgk.az/)
10:17:18	2803/2803	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Jun%202023%2013:11:12%20GMT	https://www.amgk.az/style/style2.css	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/style/style2.css	(from https://www.amgk.az/)
10:17:19	68028/68028	---MCZ	200	added ('OK')	text/css	etag:%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/Users/Maqa/Desktop/Amgk/amgk/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://www.amgk.az/)
10:17:19	8490/8490	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Jun%202023%2013:10:33%20GMT	https://www.amgk.az/style/azerbaijan.png	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/style/azerbaijan.png	(from https://www.amgk.az/)
10:17:19	152900/152900	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2013:06:01%20GMT	https://www.amgk.az/1.jfif	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/1.html	(from https://www.amgk.az/)
10:17:19	112426/112426	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2013:06:01%20GMT	https://www.amgk.az/2.jfif	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/2.html	(from https://www.amgk.az/)
10:17:19	91176/91176	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Jun%202023%2013:10:31%20GMT	https://www.amgk.az/style/3D_seismika.jpg	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/style/3D_seismika.jpg	(from https://www.amgk.az/)
10:17:20	114323/114323	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Jun%202023%2013:09:35%20GMT	https://www.amgk.az/SaytKonfrans/2.jpg	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/SaytKonfrans/2.jpg	(from https://www.amgk.az/)
10:17:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:19%20GMT	https://www.amgk.az/Konfrans%c3%84%c2%b1n%20Proqram%c3%84%c2%b1.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/Konfrans%c3%84%c2%b1n%20Proqram%c3%84%c2%b1.pdf	(from https://www.amgk.az/)
10:17:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2006:17:19%20GMT	https://www.amgk.az/AZ%c3%86%c2%8fRBAYCANDA%20%c3%83%c2%87%c3%83%c2%96KM%c3%86%c2%8f%20QATIN%20%c3%83%c2%96YR%c3%86%c2%8fN%c3%84%c2%b0LM%c3%86%c2%8fS%c3%84%c2%b0ND%c3%86%c2%8f%20%20REG%c3%84%c2%b0ONAL%20T%c3%86%c2%8fDQ%c3%84%c2%b0QATLARIN%20ROLU.pdf	C:/Users/Maqa/Desktop/Amgk/amgk/www.amgk.az/AZ%c3%86%c2%8fRBAYCANDA%20%c3%83%c2%87%c3%83%c2%96KM%c3%86%c2%8f%20QATIN%20%c3%83%c2%96YR%c3%86%c2%8fN%c3%84%c2%b0LM%c3%86%c2%8fS%c3%84%c2%b0ND%c3%86%c2%8f%20%20REG%c3%84%c2%b0ONAL%20T%c3%86%c2%8fDQ%c3%84%c2%b0QATLARIN%20ROLU.pdf	(from https://www.amgk.az/)
